    # Журнал событий ParamControl
    # Формат: Дата Время | Уровень | Категория | Сообщение | Значение | Статус
    # Дата начала: 2025-04-09

    2025-04-09 11:30:00 | INFO | Мониторинг | Мониторинг запущен | | Normal
    2025-04-09 11:30:01 | INFO | Соед. с СОТМ | Соединение установлено | | Normal
    2025-04-09 11:30:02 | INFO | Телеметрия | ТМИ поступает | | Normal
    2025-04-09 11:30:15 | ERROR | НОВФР | Значение изменилось на 0 | 0 | Error
    2025-04-09 11:31:30 | INFO | НОВФР | Значение вернулось в норму | 1 | Normal
    2025-04-09 11:35:20 | ERROR | ТОК_АКБ | Значение вышло за пределы [0.1, 2.5] | 3.2 | Error
    2025-04-09 11:40:15 | ERROR | Телеметрия | Проблемы с ТМИ | | Error
    2025-04-09 11:41:05 | INFO | Телеметрия | ТМИ в порядке | | Normal
    2025-04-09 11:45:00 | INFO | Параметры | Добавлен параметр ТЕМП1 (значение < -10 ИЛИ значение > 50) | | Normal
    2025-04-09 11:50:00 | ERROR | ТЕМП1 | Значение вышло за пределы [-10, 50] | 55 | Error
    2025-04-09 12:00:00 | INFO | Мониторинг | Мониторинг остановлен | | Normal
    
